project_id,respondent_id,site_id,role,timepoint,assessment_date,item_id,direction,effect,comment
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,1,3,0,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,2,3,0,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,3,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,4,3,0,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,5,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,6,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,7,1,1,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,8,1,1,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,9,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,10,1,1,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,11,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,12,3,1,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,13,2,,
PCAT_DEMO,R001,SITE_A,clinician,planning,2026-01-15,14,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,1,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,2,3,0,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,3,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,4,3,0,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,5,3,0,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,6,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,7,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,8,1,1,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,9,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,10,2,,
PCAT_DEMO,R001,SITE_A,clinician,mid_implementation,2026-05-15,11,2,,
