item_id,item_key,item_text,cfir_original_domain,cfir_original_construct,cfir_2022_domain,cfir_2022_subdomain,cfir_2022_construct,cfir_2022_secondary_construct,cfir_2022_construct_all,cfir_2022_mapping_count,cfir_2022_mapping_note,instrument_version,instrument_source_doi,mapping_source_doi,content_license
1,patient_needs,People here regularly seek to understand the needs of patients and make changes to better meet those needs.,Outer Setting,Patient Needs & Resources,Inner Setting,,Culture: Recipient-Centeredness,,Culture: Recipient-Centeredness,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
2,communications,I have open lines of communication with everyone needed to make the change.,Inner Setting,Networks & Communications,Inner Setting,,Communications,,Communications,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
3,data_tracking,I have access to data to help track changes in outcomes.,Process,Reflecting & Evaluating,Process,,Reflecting & Evaluating,,Reflecting & Evaluating,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
4,leadership_goals,The change is aligned with leadership goals.,Inner Setting,Goals & Feedback,Inner Setting,,Mission Alignment,,Mission Alignment,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
5,clinician_values,The change is aligned with clinician values.,Inner Setting,Compatibility,Individuals,Roles & Characteristics,Innovation Deliverers: Capability,,Innovation Deliverers: Capability,1,"The article main-text list uses ""Innovation Deliverers: Capability""; Supplementary Table S3 uses the singular label ""Innovation Deliverer: Capability"".",pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
6,clinical_processes,The change is compatible with existing clinical processes.,Inner Setting,Compatibility,Inner Setting,,Compatibility,,Compatibility,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
7,structures_policies,The structures and policies in place here enable us to make the change.,Inner Setting,Structural Characteristics,Inner Setting,,Structural Characteristics: Work Infrastructure,,Structural Characteristics: Work Infrastructure,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
8,space,We have sufficient space to accommodate the change.,Inner Setting,Available Resources,Inner Setting,,Available Resources: Space,,Available Resources: Space,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
9,time,We have sufficient time dedicated to make the change.,Inner Setting,Available Resources,Individuals,Roles & Characteristics,Innovation Deliverers: Opportunity,,Innovation Deliverers: Opportunity,1,"The article main-text list uses ""Innovation Deliverers: Opportunity""; Supplementary Table S3 uses the singular label ""Innovation Deliverer: Opportunity"".",pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
10,other_resources,"We have other needed resources to make the change (staff, money, supplies, etc.).",Inner Setting,Available Resources,Inner Setting,,Available Resources: Materials & Equipment,Available Resources: Funding,Available Resources: Materials & Equipment; Available Resources: Funding,2,Supplementary Table S3 maps this item to both Available Resources: Materials & Equipment and Funding; the article main-text list of 14 primary constructs names Materials & Equipment.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
11,tension_for_change,People here see the current situation as intolerable and that the change is needed.,Inner Setting,Tension for Change,Inner Setting,,Tension for Change,,Tension for Change,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
12,relative_advantage,People here see the advantage of implementing this change versus an alternative change.,Intervention Characteristics,Relative Advantage,Innovation,,Innovation Relative Advantage,,Innovation Relative Advantage,1,"The article main-text list uses ""Innovation Relative Advantage""; Supplementary Table S3 uses the shorter label ""Relative Advantage"".",pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
13,higher_level_leaders,"Higher level leaders are committed, involved, and accountable for the planned improvement.",Inner Setting,Leadership Engagement,Individuals,Roles & Characteristics,High-Level Leaders: Motivation,,High-Level Leaders: Motivation,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
14,closest_leaders,"Leaders I work with most closely are committed, involved, and accountable for the planned improvement.",Inner Setting,Leadership Engagement,Individuals,Roles & Characteristics,Mid-Level Leaders: Motivation,,Mid-Level Leaders: Motivation,1,One primary updated-CFIR construct per the article main-text mapping.,pCAT 14-item final version,10.1186/s43058-022-00380-5,10.1186/s43058-026-00956-5,CC BY 4.0
